batch_dir: assets/models_poc_policy
out: poc_out_policy_ace
expect_poc_batch: True
total: 11  pass: 11  fail: 0

STATUS        VAR MODEL
PASS     0.044119 espcn_16x_64x.tflite
PASS     0.096480 espcn_16x_128x.tflite
PASS     0.080281 espcn_16x_192x.tflite
PASS     0.067602 espcn_16x_512x.tflite
PASS     0.054023 espcn_96x_288x.tflite
PASS     0.053687 espcn_128x_256x.tflite
PASS     0.054192 espcn_256x_512x.tflite
PASS     0.038122 fsrcnn_16x_128x.tflite
PASS     0.049625 fsrcnn_16x_192x.tflite
PASS     0.050447 fsrcnn_16x_512x.tflite
PASS     0.054367 fsrcnn_128x_256x.tflite
